AdGroup ID,Name,Campaign ID,Records(since 2018-07-01)
2680060260073,Ad Group For Pin: 687195164074,626734609960,0
2680061533640,PinOT_KW0_LAL810PxHB2_B12i30P_LPA_C0619_US_TR_XP12x_off0_All_All_High,626737725783,3
2680060561579,Ad Group For Pin: 687195789496,626735689363,0
2680061526746,PinOT_KW2_MakeupXL2_C04YCC-NW_LPX_C0616_US_TR_XP12x_off1,626737722746,1
2680061700635,PinOT_KW2_MakeupXL2_C04i34-NW_LPX_C0811_US_TR_GE_off1_Web,626738597776,55
2680059701111,Ad Group For Pin: 687195412178,626735481542,0
2680060159325,Ad Group For Pin: 687195125154,626734601869,0
2680060299196,Ad Group For Pin: TopB1M_C1-1_LPA_B0506_US_TR_CP,626735542315,8
2680060588454,Ad Group For Pin: 687195814838,626736508358,41
2680061549777,PinOT_KW2_HB2_iPinFactC06v2_LPX_C0623_US_AppX_XP0_off0,626737732480,80
2680061533657,PinOT_KW0_LAL810PxHB2_B12i30P_LPA_C0619_US_TR_XP12x_off0_All_All_Low,626737725778,0
2680062659207,PinOT_KW0_LAL810PXCSSummerD02SwatchPin-V1_LPX_D0531_US_TR_XP0_off1,626739859451,0
2680062657698,PinOT_KW2_TopGL_D02iSeries-Branded-Pin-V4_LPX_D0530_US_TR_XP0_off1,626739858044,0
2680060191264,Ad Group For Pin: 687195341874,626735453447,0
2680061329384,PinOT_KW2_Branded_C04YCS_LPA_C0420_US_TR_XP11_off0,626737625121,1
2680059598392,Ad Group For Pin: 687195521247,626735536829,15
2680059614083,Ad Group For Pin: 687195389813,626735472163,8
2680060956357,Ad Group For Pin: 687196190078,626736667349,0
2680059701295,Ad Group For Pin: 687195412220,626735481584,3
2680060067145,Ad Group For Pin: 687195506519,626735529173,31
2680060116936,Ad Group For Pin: 687195315872,626734656736,0
2680060561596,Ad Group For Pin: 687195789514,626735689387,0
2680061971749,Pin_KW42I010P_MU2_C08i30Concept-Pin_LP1_C1020_US_TR_XP0_Off1_D1,626738705921,37
2680060191208,Ad Group For Pin: 687195341911,626735453427,0
2680061626256,PinOT_KW0_LAL810PxCSummer_C07PApplLv2_LPX_C0721_US_TR_XP13x_off1,626737772181,0
2680060117600,Ad Group For Pin: 687195316097,626734656886,0
2680059701998,Ad Group For Pin: 687195412042,626735481751,12
2680061841071,PinOT_KW3_AllPages30_i32C_LPX_C0920_US_TR_GE_off1_Web,626738660034,0
2680060956530,Ad Group For Pin: 687196190247,626736667521,0
2680060067138,Ad Group For Pin: 687195506513,626735529171,23
2680059701739,Ad Group For Pin: 687195412124,626735481688,0
